area,source_file,key,plural_category,plural_category_required_for_locales,english_source,context,placeholders_keep_exact,glossary_terms_to_review,current_de,current_es,current_fr,current_ja,current_ko,current_pl,current_pt-br,current_pt-pt,current_ru,current_zh-cn,current_zh-tw
host,l10n/bundle.l10n.json,Squashing {count} commits...,,,Squashing {count} commits...,"Extension-host runtime prompt, progress, confirmation action, or notification.",{count},Git; commit; branch; rebase; merge; push; remote; HEAD,Squash von {count} Commits...,Haciendo squash de {count} commits...,Squash de {count} commits...,{count}件のコミットをSquash中...,{count}개 커밋 스쿼시 중...,Scalanie {count} commitów metodą squash...,Fazendo squash de {count} commits...,A fazer squash de {count} commits...,Squash {count} коммитов...,正在压缩 {count} 个提交……,正在壓縮 {count} 個提交...
host,l10n/bundle.l10n.json,Squashed {count} commits into one commit.,,,Squashed {count} commits into one commit.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{count},Git; commit; branch; rebase; merge; push; remote; HEAD,{count} Commits wurden zu einem einzigen Commit zusammengefasst.,Se agruparon {count} confirmaciones en una sola confirmación.,Compression de {count} commits en un seul commit.,{count} 件のコミットを 1 つのコミットに圧縮しました。,{count}개의 커밋을 하나의 커밋으로 압축했습니다.,Scalono {count} commitów w jeden commit.,Compactou {count} commits em um único commit.,Compactou {count} commits em um único commit.,Сжато {count} коммитов в один коммит.,已将 {count} 个提交压缩为一个提交。,已將 {count} 個提交壓縮為一個提交。
host,l10n/bundle.l10n.json,{message}; rollback to {head} failed: {rollbackMessage},,,{message}; rollback to {head} failed: {rollbackMessage},"Extension-host runtime prompt, progress, confirmation action, or notification.",{message} {head} {rollbackMessage},Git; commit; branch; rebase; merge; push; remote; HEAD,{message}; Rollback zu {head} fehlgeschlagen: {rollbackMessage},{message}; la reversión a {head} falló: {rollbackMessage},{message}; le retour à {head} a échoué : {rollbackMessage},{message}; {head}へのロールバックに失敗しました: {rollbackMessage},{message}; {head}로 롤백 실패: {rollbackMessage},{message}; wycofanie do {head} nie powiodło się: {rollbackMessage},{message}; o rollback para {head} falhou: {rollbackMessage},{message}; o rollback para {head} falhou: {rollbackMessage},{message}; откат к {head} не удался: {rollbackMessage},{message}；回滚到 {head} 失败：{rollbackMessage},{message}；回滾到 {head} 失敗：{rollbackMessage}
host,l10n/bundle.l10n.json,Squash Commits failed: {message},,,Squash Commits failed: {message},"Extension-host runtime prompt, progress, confirmation action, or notification.",{message},Git; commit; branch; rebase; merge; push; remote; HEAD,Squash-Commits fehlgeschlagen: {message},Error en Squash Commits: {message},Échec des commits Squash : {message},コミットの統合に失敗しました: {message},스쿼시 커밋 실패: {message},Nieudane zatwierdzenia Squash: {message},Falha no Squash Commits: {message},Falha ao confirmar o squash: {message},Не удалось выполнить фиксацию изменений в Squash: {message},压缩提交失败：{message},壓縮提交失敗：{message}
host,l10n/bundle.l10n.json,Drop,,,Drop,"Extension-host runtime prompt, progress, confirmation action, or notification.",,Git; commit; branch; rebase; merge; push; remote; HEAD,Verwerfen,Descartar,Supprimer,破棄,버리기,Odrzuć,Descartar,Descartar,Отбросить,丢弃,丟棄
host,l10n/bundle.l10n.json,Drop commit {short} from current branch history?,,,Drop commit {short} from current branch history?,"Extension-host runtime prompt, progress, confirmation action, or notification.",{short},Git; commit; branch; rebase; merge; push; remote; HEAD,Commit {short} aus der aktuellen Branch-Historie verwerfen?,¿Eliminar el commit {short} del historial de la rama actual?,Supprimer le commit {short} de l'historique de la branche actuelle ?,現在のブランチ履歴からコミット{short}を削除しますか？,현재 브랜치 기록에서 {short} 커밋을 제거하시겠습니까?,Porzucić commit {short} z historii bieżącej gałęzi?,Remover commit {short} do histórico do branch atual?,Remover commit {short} do histórico do branch atual?,Удалить коммит {short} из истории текущей ветки?,从当前分支历史记录中删除提交 {short}？,從目前分支歷史記錄中丟棄提交 {short}？
host,l10n/bundle.l10n.json,Dropped {short} from history.,,,Dropped {short} from history.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{short},Git; commit; branch; rebase; merge; push; remote; HEAD,{short} aus dem Verlauf verworfen.,Eliminado {short} del historial.,Supprimé {short} de l'historique.,履歴から削除されました。 {short},히스토리에서 {short} 제거됨.,Usunięte z historii. {short},{short} descartado do histórico.,Removido da história. {short},Выпал из истории. {short},从历史中剔除 {short}。,已從歷史記錄中丟棄 {short}。
host,l10n/bundle.l10n.json,Failed to drop commit: {message}. Run 'git rebase --abort' to recover.,,,Failed to drop commit: {message}. Run 'git rebase --abort' to recover.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{message},Git; commit; branch; rebase; merge; push; remote; HEAD,"Fehler beim Löschen des Commits: {message}. Führen Sie 'git rebase --abort' aus, um den Vorgang abzubrechen.",No se pudo eliminar la confirmación: {message}. Ejecute 'git rebase --abort' para recuperarse.,Échec de la suppression du commit : {message}. Exécutez « git rebase --abort » pour récupérer.,コミットの削除に失敗しました: {message}。「git rebase --abort」を実行して復旧してください。,커밋을 삭제하는 데 실패했습니다: {message}. 복구하려면 'git rebase --abort'를 실행하세요.,"Nie udało się usunąć zatwierdzenia: {message}. Uruchom „git rebase --abort”, aby odzyskać.",Falha ao descartar o commit: {message}. Execute 'git rebase --abort' para recuperar.,Falha ao descartar o commit: {message}. Execute 'git rebase --abort' para recuperar.,Не удалось удалить коммит: {message}. Для восстановления выполните команду 'git rebase --abort'.,删除提交失败：{message}。运行“git rebase --abort”以恢复。,刪除提交失敗：{message}。運行“git rebase --abort”以恢復。
host,l10n/bundle.l10n.json,Opened interactive rebase from {short}.,,,Opened interactive rebase from {short}.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{short},Git; commit; branch; rebase; merge; push; remote; HEAD,Interaktives Rebase von {short} geöffnet.,Se abrió una rebase interactiva desde {short}.,Ouverture d'un rebase interactif à partir de {short}.,{short} からインタラクティブなリベースを開きました。,{short}에서 인터랙티브 리베이스를 열었습니다.,Otwarto interaktywne rebase z {short}.,Rebase interativo aberto a partir de {short}.,Rebase interativo aberto a partir de {short}.,Открыта интерактивная перебазировка из {short}.,从 {short} 打开交互式 rebase。,從 {short} 開啟互動式 rebase。
host,l10n/bundle.l10n.json,Checked out {branch},,,Checked out {branch},"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,{branch} ausgecheckt,Examinado {branch},{branch} extrait,{branch} をチェックアウトしました。,{branch}에서 체크아웃했습니다.,Przełączono na {branch},Checkout de {branch} realizado,Verifiquei {branch},Проверено в {branch},已检出 {branch},已檢出 {branch}
host,l10n/bundle.l10n.json,New branch from {branch},,,New branch from {branch},"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Neuer Branch von {branch},Nueva rama desde {branch},Nouvelle branche à partir de {branch},{branch} から新しいブランチができました。,{branch}에서 새 분기가 생성되었습니다.,Nowa gałąź z {branch},Nova ramificação de {branch},Nova ramificação de {branch},Новая ветка от {branch},从 {branch} 创建新分支,從 {branch} 建立新分支
host,l10n/bundle.l10n.json,Created and checked out {branch},,,Created and checked out {branch},"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,{branch} erstellt und ausgecheckt,Creado y revisado {branch},Créé et extrait {branch},{branch} を作成してチェックアウトしました,{branch}를 생성하고 체크아웃했습니다.,Utworzono i przełączono na {branch},Criado e checkout de {branch} realizado,Criado e verificado {branch},Создана и проверена ветка {branch},创建并检出了 {branch},創建並檢出了 {branch}
host,l10n/bundle.l10n.json,{branch} is already the current branch.,,,{branch} is already the current branch.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,{branch} ist bereits der aktuelle Branch.,{branch} ya es la rama actual.,{branch} est déjà la branche actuelle.,{branch} は既に現在のブランチです。,{branch}는 이미 현재 브랜치입니다.,{branch} jest już gałęzią bieżącą.,{branch} já é o branch atual.,{branch} já é o branch atual.,{branch} уже является текущей веткой.,{branch} 已经是当前分支。,{branch} 已經是目前分支。
host,l10n/bundle.l10n.json,Checked out {branch} and rebased onto {onto},,,Checked out {branch} and rebased onto {onto},"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch} {onto},Git; commit; branch; rebase; merge; push; remote; HEAD,{branch} ausgecheckt und auf {onto} rebased,Se ha realizado un checkout de {branch} y se ha rebasado en {onto}.,J'ai extrait {branch} et rebasé sur {onto},{branch} をチェックアウトし、{onto} にリベースしました。,{branch}를 체크아웃하고 {onto}로 리베이스했습니다.,Wyewidencjonowano {branch} i ponownie oparto na {onto},Verifiquei {branch} e rebaseei em {onto},Verifiquei {branch} e rebaseei em {onto},Проверил ветку {branch} и перебазировал на ветку {onto}.,检出 {branch} 并变基到 {onto}。,檢出 {branch} 並變基到 {onto}。
host,l10n/bundle.l10n.json,Checkout and rebase failed: {message},,,Checkout and rebase failed: {message},"Extension-host runtime prompt, progress, confirmation action, or notification.",{message},Git; commit; branch; rebase; merge; push; remote; HEAD,Checkout und Rebase fehlgeschlagen: {message},Error al realizar el checkout y el rebase: {message},L'extraction et le rebasage ont échoué : {message},チェックアウトとリベースに失敗しました: {message},체크아웃 및 리베이스 실패: {message},Wyewidencjonowanie i ponowne bazowanie nie powiodło się: {message},Falha no checkout e rebase: {message},Falha no checkout e rebase: {message},Ошибка при оформлении заказа и перебазировании: {message},检出和变基失败：{message},檢出和變基失敗：{message}
host,l10n/bundle.l10n.json,Rebase,,,Rebase,"Extension-host runtime prompt, progress, confirmation action, or notification.",,Git; commit; branch; rebase; merge; push; remote; HEAD,Rebase,Rebase,Rebase,リベース,리베이스,Rebase,Rebase,Rebase,Ребаза,变基,變基
host,l10n/bundle.l10n.json,Rebase current branch onto {branch}?,,,Rebase current branch onto {branch}?,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Aktuellen Branch auf {branch} rebasen?,¿Rebasar la rama actual sobre {branch}?,Rebaser la branche actuelle sur {branch} ?,現在のブランチを{branch}にリベースしますか？,현재 브랜치를 {branch}로 리베이스하시겠습니까?,Czy zmienić bazę bieżącej gałęzi na {branch}?,Rebasear o branch atual em {branch}?,Rebasear o branch atual em {branch}?,Перебазировать текущую ветку на {branch}?,将当前分支变基到 {branch}？,將目前分支變基到 {branch}？
host,l10n/bundle.l10n.json,Rebased onto {branch},,,Rebased onto {branch},"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Rebased auf {branch},Rebasado en {branch},Rebasé sur {branch},{branch}にリベースしました,{branch}로 리베이스됨,Ponownie bazowane na {branch},Rebaseado em {branch},Rebaseado em {branch},Перенесено на {branch},已变基到 {branch},已變基到 {branch}
host,l10n/bundle.l10n.json,Rebase failed: {message},,,Rebase failed: {message},"Extension-host runtime prompt, progress, confirmation action, or notification.",{message},Git; commit; branch; rebase; merge; push; remote; HEAD,Rebase fehlgeschlagen: {message},Error al rebasar: {message},Échec du rebasage : {message},リベースに失敗しました: {message},리베이스 실패: {message},Nie udało się ponownie bazować: {message},Falha na rebase: {message},Falha na rebase: {message},Ошибка перебазирования: {message},变基失败：{message},變基失敗：{message}
host,l10n/bundle.l10n.json,Merge,,,Merge,"Extension-host runtime prompt, progress, confirmation action, or notification.",,Git; commit; branch; rebase; merge; push; remote; HEAD,Verschmelzen,Unir,Fusionner,マージ,병합,Łączyć,Fusão,Fusão,Слияние,合并,合併
host,l10n/bundle.l10n.json,Merge {branch} into current branch?,,,Merge {branch} into current branch?,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,{branch} in den aktuellen Branch mergen?,¿Fusionar {branch} en la rama actual?,Fusionner {branch} dans la branche actuelle ?,{branch}を現在のブランチにマージしますか？,{branch}를 현재 브랜치에 병합하시겠습니까?,Czy scalić {branch} z bieżącą gałęzią?,Mesclar {branch} na branch atual?,Mesclar {branch} na branch atual?,Объединить {branch} с текущей веткой?,将 {branch} 合并到当前分支？,將 {branch} 合併到目前分支？
host,l10n/bundle.l10n.json,Merged {branch},,,Merged {branch},"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Zusammengeführt {branch},Fusionado {branch},Fusion de {branch},マージされた {branch},{branch} 병합됨,Scalono {branch},Ramificação mesclada {branch},Ramificação mesclada {branch},Объединена {branch},合并 {branch},合併 {branch}
host,l10n/bundle.l10n.json,Merge produced {count} unresolved conflict file(s). Opened Conflicts session.,,,Merge produced {count} unresolved conflict file(s). Opened Conflicts session.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{count},Git; commit; branch; rebase; merge; push; remote; HEAD,Beim Zusammenführen wurden {count} ungelöste Konfliktdateien erzeugt. Die Konfliktsitzung wurde geöffnet.,La fusión generó {count} archivos de conflicto sin resolver. Se abrió la sesión de Conflictos.,La fusion a produit {count} fichiers de conflit non résolus. Session Conflits ouverte.,マージによって{count}個の未解決の競合ファイルが生成されました。競合セッションを開きました。,병합 과정에서 해결되지 않은 충돌 파일이 {count}개 발생했습니다. 충돌 해결 세션을 열었습니다.,Scalenie wygenerowało {count} nierozwiązanych plików konfliktu. Otwarto sesję Konfliktów.,A mesclagem gerou {count} arquivos de conflito não resolvidos. Sessão de conflitos aberta.,A mesclagem gerou {count} arquivos de conflito não resolvidos. Sessão de conflitos aberta.,В результате слияния образовалось {count} неразрешенных конфликтных файлов. Открыта сессия «Конфликты».,合并操作产生了 {count} 个未解决的冲突文件。已打开冲突会话。,合併操作產生了 {count} 個未解決的衝突檔案。已開啟衝突會話。
host,l10n/bundle.l10n.json,Merge failed: {message},,,Merge failed: {message},"Extension-host runtime prompt, progress, confirmation action, or notification.",{message},Git; commit; branch; rebase; merge; push; remote; HEAD,Zusammenführung fehlgeschlagen: {message},Error al combinar: {message},Échec de la fusion : {message},マージに失敗しました: {message},병합 실패: {message},Scalenie nie powiodło się: {message},A mesclagem falhou: {message},A mesclagem falhou: {message},Слияние не удалось: {message},合并失败：{message},合併失敗：{message}
host,l10n/bundle.l10n.json,Updating {branch}...,,,Updating {branch}...,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Aktualisiere {branch}...,Actualizando {branch}...,Mise à jour de {branch}...,{branch}を更新中...,{branch}를 업데이트하는 중...,Aktualizowanie {branch}...,Atualizando {branch}...,Atualizando {branch}...,Обновление {branch}...,正在更新 {branch}...,正在更新 {branch}...
host,l10n/bundle.l10n.json,No tracked remote branch configured for '{branch}'.,,,No tracked remote branch configured for '{branch}'.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Für '{branch}' ist kein verfolgter Remote-Branch konfiguriert.,No se ha configurado ninguna rama remota rastreada para '{branch}'.,Aucune branche distante suivie n'est configurée pour '{branch}'.,'{branch}' には、追跡対象のリモートブランチが設定されていません。,'{branch}'에 대해 추적되는 원격 브랜치가 구성되어 있지 않습니다.,Nie skonfigurowano żadnej śledzonej zdalnej gałęzi dla '{branch}'.,Nenhuma ramificação remota rastreada configurada para '{branch}'.,Nenhuma ramificação remota rastreada configurada para '{branch}'.,Для '{branch}' не настроена отслеживаемая удаленная ветка.,未为“{branch}”配置跟踪的远程分支。,未為“{branch}”配置追蹤的遠端分支。
host,l10n/bundle.l10n.json,Updated {branch},,,Updated {branch},"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Aktualisiert {branch},Actualizado {branch},Mise à jour de {branch},更新された{branch},업데이트됨 {branch},Zaktualizowano {branch},Atualizado {branch},Atualizado {branch},Обновлено {branch},已更新 {branch},已更新 {branch}
host,l10n/bundle.l10n.json,Update failed: {message},,,Update failed: {message},"Extension-host runtime prompt, progress, confirmation action, or notification.",{message},Git; commit; branch; rebase; merge; push; remote; HEAD,Aktualisierung fehlgeschlagen: {message},Error al actualizar: {message},Échec de la mise à jour : {message},更新に失敗しました: {message},업데이트 실패: {message},Aktualizacja nie powiodła się: {message},Falha na atualização: {message},Falha na atualização: {message},Обновление не удалось: {message},更新失败：{message},更新失敗：{message}
host,l10n/bundle.l10n.json,Pushing {branch}...,,,Pushing {branch}...,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,{branch} wird gepusht...,Pushndo {branch}...,Envoi de {branch}...,{branch}をプッシュしています...,{branch}를 푸시하는 중...,Wysyłanie {branch}...,Enviando {branch}...,A enviar {branch}...,Толкание {branch}...,正在推送 {branch}...,正在推送 {branch}...
host,l10n/bundle.l10n.json,Pushed {branch},,,Pushed {branch},"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Pushed {branch},Empujado {branch},Poussé {branch},{branch}をプッシュしました,{branch}를 푸시했습니다.,Wypchnięto {branch},Enviado {branch},Empurrado {branch},Отправлена ​​{branch},推送 {branch},已推送 {branch}
host,l10n/bundle.l10n.json,Push failed: {message},,,Push failed: {message},"Extension-host runtime prompt, progress, confirmation action, or notification.",{message},Git; commit; branch; rebase; merge; push; remote; HEAD,Push fehlgeschlagen: {message},Error al enviar: {message},Échec de l'envoi : {message},プッシュに失敗しました: {message},푸시 실패: {message},Nieudane przesłanie: {message},Falha no envio: {message},Falha no envio: {message},Отправка не удалась: {message},推送失败：{message},推送失敗：{message}
host,l10n/bundle.l10n.json,Rename {branch} to,,,Rename {branch} to,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Benenne {branch} um in,Cambiar el nombre de {branch} a,Renommez {branch} en,{branch} の名前を変更します,{branch}의 이름을 다음으로 변경합니다.,Zmień nazwę {branch} na,Renomeie {branch} para,Renomear {branch} para,Переименовать {branch} в,将 {branch} 重命名为,將 {branch} 重新命名為
host,l10n/bundle.l10n.json,Renamed {oldBranch} to {newBranch},,,Renamed {oldBranch} to {newBranch},"Extension-host runtime prompt, progress, confirmation action, or notification.",{oldBranch} {newBranch},Git; commit; branch; rebase; merge; push; remote; HEAD,{oldBranch} wurde in {newBranch} umbenannt.,Se cambió el nombre de {oldBranch} a {newBranch}.,Renommé {oldBranch} en {newBranch},{oldBranch} を {newBranch} に名前変更しました。,{oldBranch}를 {newBranch}로 이름을 변경했습니다.,Zmieniono nazwę {oldBranch} na {newBranch},Renomeamos {oldBranch} para {newBranch},Renomeamos {oldBranch} para {newBranch},Переименование {oldBranch} в {newBranch},将 {oldBranch} 重命名为 {newBranch},將 {oldBranch} 重新命名為 {newBranch}
host,l10n/bundle.l10n.json,Rename failed: {message},,,Rename failed: {message},"Extension-host runtime prompt, progress, confirmation action, or notification.",{message},Git; commit; branch; rebase; merge; push; remote; HEAD,Umbenennen fehlgeschlagen: {message},Error al renombrar: {message},Échec du renommage : {message},名前変更に失敗しました: {message},이름 변경 실패: {message},Zmiana nazwy nie powiodła się: {message},Falha ao renomear: {message},Falha ao renomear: {message},Переименование не удалось: {message},重命名失败：{message},重新命名失敗：{message}
host,l10n/bundle.l10n.json,Cannot delete '{branch}' because it is currently checked out. Switch to another branch and try again.,,,Cannot delete '{branch}' because it is currently checked out. Switch to another branch and try again.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,"Der Branch '{branch}' kann nicht gelöscht werden, da er aktuell ausgecheckt ist. Wechseln Sie zu einem anderen Branch und versuchen Sie es erneut.",No se puede eliminar '{branch}' porque está en uso. Cambia a otra rama e inténtalo de nuevo.,Impossible de supprimer la branche « {branch} » car elle est actuellement utilisée. Veuillez choisir une autre branche et réessayer.,'{branch}' は現在チェックアウトされているため、削除できません。別のブランチに切り替えて、もう一度お試しください。,'{branch}'는 현재 체크아웃된 상태이므로 삭제할 수 없습니다. 다른 브랜치로 전환하여 다시 시도하십시오.,"Nie można usunąć gałęzi „{branch}”, ponieważ jest ona obecnie wyewidencjonowana. Przełącz się na inną gałąź i spróbuj ponownie.",Não é possível excluir '{branch}' porque está atualmente em uso. Alterne para outra branch e tente novamente.,Não é possível excluir '{branch}' porque está atualmente em uso. Alterne para outra branch e tente novamente.,"Невозможно удалить ветку '{branch}', поскольку она в данный момент находится в режиме редактирования. Переключитесь на другую ветку и попробуйте снова.",无法删除分支“{branch}”，因为它当前已被检出。请切换到其他分支重试。,無法刪除分支“{branch}”，因為它目前已被檢出。請切換到其他分支重試。
host,l10n/bundle.l10n.json,OK,,,OK,"Extension-host runtime prompt, progress, confirmation action, or notification.",,Git; commit; branch; rebase; merge; push; remote; HEAD,OK,DE ACUERDO,D'ACCORD,わかりました,좋아요,OK,OK,OK,ХОРОШО,好的,好的
host,l10n/bundle.l10n.json,Delete Anyway,,,Delete Anyway,"Extension-host runtime prompt, progress, confirmation action, or notification.",,Git; commit; branch; rebase; merge; push; remote; HEAD,Trotzdem löschen,Eliminar de todos modos,Supprimer quand même,とにかく削除する,어쨌든 삭제하세요,Usuń mimo wszystko,Apagar mesmo assim,Apagar mesmo assim,Удалить в любом случае,无论如何都要删除,無論如何都要刪除
host,l10n/bundle.l10n.json,Delete branch {branch}?,,,Delete branch {branch}?,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Branch {branch} löschen?,¿Eliminar la rama {branch}?,Supprimer la branche {branch} ?,ブランチ{branch}を削除しますか？,{branch} 분기를 삭제하시겠습니까?,Usunąć gałąź {branch}?,Excluir branch {branch}?,Excluir branch {branch}?,Удалить ветку {branch}?,删除分支 {branch}？,刪除分支 {branch}？
host,l10n/bundle.l10n.json,Branch {branch} has unmerged commits relative to the current branch. Delete anyway? This may permanently lose commits not reachable from the current branch.,,,Branch {branch} has unmerged commits relative to the current branch. Delete anyway? This may permanently lose commits not reachable from the current branch.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,"Der Branch {branch} enthält nicht zusammengeführte Commits im Vergleich zum aktuellen Branch. Trotzdem löschen? Dadurch können Commits, die vom aktuellen Branch aus nicht erreichbar sind, dauerhaft verloren gehen.",La rama {branch} tiene confirmaciones sin fusionar con respecto a la rama actual. ¿Eliminar de todos modos? Esto podría provocar la pérdida permanente de confirmaciones inaccesibles desde la rama actual.,La branche {branch} contient des commits non fusionnés par rapport à la branche courante. Supprimer quand même ? Cela pourrait entraîner la suppression définitive de commits inaccessibles depuis la branche courante.,ブランチ {branch} には、現在のブランチに対してマージされていないコミットがあります。それでも削除しますか？削除すると、現在のブランチから到達できないコミットが完全に失われる可能性があります。,브랜치 {branch}에는 현재 브랜치에 비해 병합되지 않은 커밋이 있습니다. 그래도 삭제하시겠습니까? 이렇게 하면 현재 브랜치에서 접근할 수 없는 커밋이 영구적으로 손실될 수 있습니다.,Gałąź {branch} ma niezintegrowane zatwierdzenia względem gałęzi bieżącej. Usunąć mimo to? Może to spowodować trwałą utratę zatwierdzeń niedostępnych z gałęzi bieżącej.,A branch {branch} possui commits não mesclados relativos à branch atual. Deseja excluir mesmo assim? Isso pode resultar na perda permanente de commits que não são acessíveis a partir da branch atual.,A branch {branch} possui commits não mesclados relativos à branch atual. Deseja excluir mesmo assim? Isso pode resultar na perda permanente de commits que não são acessíveis a partir da branch atual.,"В ветке {branch} есть неслитые коммиты относительно текущей ветки. Удалить в любом случае? Это может привести к безвозвратной потере коммитов, недоступных из текущей ветки.",分支 {branch} 包含相对于当前分支未合并的提交。是否仍然删除？这可能会永久丢失当前分支无法访问的提交。,分支 {branch} 包含相對於目前分支未合併的提交。是否仍然刪除？這可能會永久丟失當前分支無法存取的提交。
host,l10n/bundle.l10n.json,Branch {branch} has unmerged commits relative to '{target}'. Delete anyway? This may permanently lose commits not reachable from '{target}'.,,,Branch {branch} has unmerged commits relative to '{target}'. Delete anyway? This may permanently lose commits not reachable from '{target}'.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch} {target} {target},Git; commit; branch; rebase; merge; push; remote; HEAD,"Branch {branch} enthält nicht zusammengeführte Commits relativ zu '{target}'. Trotzdem löschen? Dadurch könnten Commits, die von '{target}' aus nicht erreichbar sind, dauerhaft verloren gehen.",La rama {branch} tiene confirmaciones sin fusionar relativas a '{target}'. ¿Eliminar de todos modos? Esto podría provocar la pérdida permanente de confirmaciones inaccesibles desde '{target}'.,La branche {branch} contient des commits non fusionnés par rapport à '{target}'. Supprimer quand même ? Cela pourrait entraîner la perte définitive de commits inaccessibles depuis '{target}'.,ブランチ {branch} には、'{target}' に対してマージされていないコミットがあります。それでも削除しますか？削除すると、'{target}' から到達できないコミットが完全に失われる可能性があります。,브랜치 {branch}에는 '{target}'에 비해 병합되지 않은 커밋이 있습니다. 그래도 삭제하시겠습니까? 이렇게 하면 '{target}'에서 접근할 수 없는 커밋이 영구적으로 손실될 수 있습니다.,Gałąź {branch} ma niezintegrowane zatwierdzenia względem '{target}'. Usunąć mimo to? Może to spowodować trwałą utratę zatwierdzeń niedostępnych z '{target}'.,O branch {branch} possui commits não mesclados relativos a '{target}'. Deseja excluir mesmo assim? Isso pode resultar na perda permanente de commits inacessíveis a partir de '{target}'.,O branch {branch} possui commits não mesclados relativos a '{target}'. Deseja excluir mesmo assim? Isso pode resultar na perda permanente de commits inacessíveis a partir de '{target}'.,"В ветке {branch} есть неслитые коммиты относительно '{target}'. Удалить в любом случае? Это может привести к безвозвратной потере коммитов, недоступных из '{target}'.",分支 {branch} 相对于 '{target}' 有未合并的提交。是否仍然删除？这可能会永久丢失无法从 '{target}' 访问的提交。,分支 {branch} 相對於 '{target}' 有未合併的提交。是否仍然刪除？這可能會永久丟失無法從 '{target}' 訪問的提交。
host,l10n/bundle.l10n.json,Delete failed: unable to determine remote target for '{branch}'.,,,Delete failed: unable to determine remote target for '{branch}'.,"Extension-host runtime prompt, progress, confirmation action, or notification.",{branch},Git; commit; branch; rebase; merge; push; remote; HEAD,Löschvorgang fehlgeschlagen: Das Remote-Ziel für '{branch}' konnte nicht ermittelt werden.,Error al eliminar: no se pudo determinar el destino remoto para '{branch}'.,Échec de la suppression : impossible de déterminer la cible distante pour « {branch} ».,削除に失敗しました: '{branch}' のリモートターゲットを特定できません。,삭제 실패: '{branch}'에 대한 원격 대상을 확인할 수 없습니다.,Nie udało się usunąć: nie można określić zdalnego celu dla '{branch}'.,A exclusão falhou: não foi possível determinar o destino remoto para '{branch}'.,A exclusão falhou: não foi possível determinar o destino remoto para '{branch}'.,Удаление не удалось: не удалось определить удаленный целевой объект для '{branch}'.,删除失败：无法确定“{branch}”的远程目标。,刪除失敗：無法確定「{branch}」的遠端目標。
host,l10n/bundle.l10n.json,Deleting remote branch {remote}/{remoteBranch}...,,,Deleting remote branch {remote}/{remoteBranch}...,"Extension-host runtime prompt, progress, confirmation action, or notification.",{remote} {remoteBranch},Git; commit; branch; rebase; merge; push; remote; HEAD,Remote-Branch {remote}/{remoteBranch} wird gelöscht...,Eliminando la rama remota {remote}/{remoteBranch}...,Suppression de la branche distante {remote}/{remoteBranch}...,リモートブランチ {remote}/{remoteBranch} を削除しています...,원격 브랜치 {remote}/{remoteBranch}를 삭제하는 중...,Usuwanie zdalnej gałęzi {remote}/{remoteBranch}...,Excluindo o branch remoto {remote}/{remoteBranch}...,Excluindo o branch remoto {remote}/{remoteBranch}...,Удаление удаленной ветки {remote}/{remoteBranch}...,正在删除远程分支 {remote}/{remoteBranch}...,正在刪除遠端分支 {remote}/{remoteBranch}...
